Date,Counts
2020-01-01,169437
2020-01-02,162141
2020-01-03,183477
2020-01-04,182752
2020-01-05,164399
2020-01-06,179515
2020-01-07,201520
2020-01-08,217100
2020-01-09,231684
2020-01-10,228201
2020-01-11,217503
2020-01-12,186745
2020-01-13,209210
2020-01-14,217722
2020-01-15,217496
2020-01-16,239657
2020-01-17,243682
2020-01-18,190158
2020-01-19,175831
2020-01-20,161956
2020-01-21,213823
2020-01-22,221897
2020-01-23,232096
2020-01-24,233291
2020-01-25,223220
2020-01-26,188185
2020-01-27,189786
2020-01-28,215813
2020-01-29,227420
2020-01-30,242994
2020-01-31,236085
2020-02-01,211589
2020-02-02,193723
2020-02-03,194452
2020-02-04,216040
2020-02-05,231670
2020-02-06,242736
2020-02-07,252398
2020-02-08,219589
2020-02-09,182474
2020-02-10,211573
2020-02-11,220135
2020-02-12,236425
2020-02-13,246516
2020-02-14,258277
2020-02-15,202201
2020-02-16,165867
2020-02-17,148845
2020-02-18,190383
2020-02-19,216938
2020-02-20,237931
2020-02-21,237185
2020-02-22,209729
2020-02-23,179707
2020-02-24,197782
2020-02-25,226546
2020-02-26,231329
2020-02-27,255937
2020-02-28,250820
2020-02-29,230254
2020-03-01,179723
2020-03-02,193508
2020-03-03,222917
2020-03-04,229734
2020-03-05,244448
2020-03-06,243741
2020-03-07,208190
2020-03-08,165787
2020-03-09,175564
2020-03-10,184060
2020-03-11,182630
2020-03-12,171077
2020-03-13,134702
2020-03-14,89650
2020-03-15,59871
2020-03-16,64201
2020-03-17,45617
2020-03-18,36244
2020-03-19,29803
2020-03-20,27622
2020-03-21,16166
2020-03-22,10340
2020-03-23,13576
2020-03-24,11851
2020-03-25,11205
2020-03-26,10663
2020-03-27,11778
2020-03-28,7633
2020-03-29,5540
2020-03-30,9579
2020-03-31,9446
2020-04-01,9468
2020-04-02,8786
2020-04-03,10309
2020-04-04,6393
2020-04-05,5046
2020-04-06,8270
2020-04-07,7886
2020-04-08,7915
2020-04-09,7827
2020-04-10,8585
2020-04-11,6267
2020-04-12,4432
2020-04-13,7469
2020-04-14,8329
2020-04-15,8303
2020-04-16,8494
2020-04-17,9669
2020-04-18,5808
2020-04-19,5122
2020-04-20,8134
2020-04-21,8080
2020-04-22,8624
2020-04-23,8720
2020-04-24,9395
2020-04-25,7215
2020-04-26,4992
2020-04-27,8904
2020-04-28,9457
2020-04-29,9683
2020-04-30,10279
2020-05-01,11893
2020-05-02,8450
2020-05-03,6414
2020-05-04,10799
2020-05-05,11205
2020-05-06,11960
2020-05-07,12062
2020-05-08,13135
2020-05-09,8609
2020-05-10,7605
2020-05-11,11885
2020-05-12,12188
2020-05-13,13019
2020-05-14,13210
2020-05-15,14576
2020-05-16,10256
2020-05-17,7403
2020-05-18,12073
2020-05-19,12224
2020-05-20,12677
2020-05-21,12807
2020-05-22,13993
2020-05-23,8009
2020-05-24,7982
2020-05-25,7664
2020-05-26,13078
2020-05-27,14262
2020-05-28,13584
2020-05-29,15173
2020-05-30,11331
2020-05-31,8822
2020-06-01,14670
2020-06-02,14958
2020-06-03,14986
2020-06-04,15836
2020-06-05,16499
2020-06-06,12131
2020-06-07,9903
2020-06-08,16974
2020-06-09,17721
2020-06-10,18018
2020-06-11,17823
2020-06-12,20108
2020-06-13,14072
2020-06-14,10889
2020-06-15,18274
2020-06-16,19661
2020-06-17,19975
2020-06-18,20301
2020-06-19,22290
2020-06-20,14803
2020-06-21,12829
2020-06-22,23092
2020-06-23,24666
2020-06-24,24942
2020-06-25,25696
2020-06-26,26225
2020-06-27,17215
2020-06-28,15199
2020-06-29,24842
2020-06-30,25153
2020-07-01,25523
2020-07-02,27359
2020-07-03,20377
2020-07-04,14476
2020-07-05,14450
2020-07-06,24504
2020-07-07,26050
2020-07-08,27038
2020-07-09,28953
2020-07-10,24093
2020-07-11,18583
2020-07-12,17086
2020-07-13,25869
2020-07-14,28472
2020-07-15,29303
2020-07-16,29279
2020-07-17,27890
2020-07-18,21798
2020-07-19,17010
2020-07-20,27104
2020-07-21,29470
2020-07-22,31478
2020-07-23,30117
2020-07-24,29194
2020-07-25,24142
2020-07-26,17541
2020-07-27,28731
2020-07-28,31953
2020-07-29,34146
2020-07-30,33873
2020-07-31,34540
2020-08-01,27644
2020-08-02,19455
2020-08-03,32429
2020-08-04,26186
2020-08-05,35980
2020-08-06,36490
2020-08-07,35530
2020-08-08,26838
2020-08-09,21514
2020-08-10,32457
2020-08-11,35234
2020-08-12,36875
2020-08-13,35772
2020-08-14,36994
2020-08-15,29442
2020-08-16,19068
2020-08-17,32680
2020-08-18,36726
2020-08-19,36612
2020-08-20,38725
2020-08-21,38423
2020-08-22,30751
2020-08-23,23241
2020-08-24,34475
2020-08-25,38696
2020-08-26,39507
2020-08-27,38536
2020-08-28,39866
2020-08-29,28032
2020-08-30,27078
2020-08-31,36012
2020-09-01,39687
2020-09-02,41527
2020-09-03,43060
2020-09-04,41981
2020-09-05,30987
2020-09-06,25360
2020-09-07,25354
2020-09-08,43457
2020-09-09,47655
2020-09-10,48295
2020-09-11,50521
2020-09-12,41372
2020-09-13,29470
2020-09-14,44625
2020-09-15,49742
2020-09-16,51389
2020-09-17,53075
2020-09-18,54215
2020-09-19,43830
2020-09-20,33836
2020-09-21,46215
2020-09-22,51190
2020-09-23,54777
2020-09-24,56284
2020-09-25,58829
2020-09-26,47145
2020-09-27,35557
2020-09-28,41203
2020-09-29,54054
2020-09-30,56186
2020-10-01,60592
2020-10-02,59080
2020-10-03,49245
2020-10-04,34482
2020-10-05,47726
2020-10-06,54156
2020-10-07,57134
2020-10-08,59721
2020-10-09,58173
2020-10-10,48185
2020-10-11,34442
2020-10-12,42638
2020-10-13,54557
2020-10-14,59294
2020-10-15,62948
2020-10-16,58372
2020-10-17,52077
2020-10-18,38795
2020-10-19,51191
2020-10-20,57412
2020-10-21,59138
2020-10-22,62159
2020-10-23,61789
2020-10-24,53349
2020-10-25,39439
2020-10-26,53401
2020-10-27,59660
2020-10-28,62978
2020-10-29,64845
2020-10-30,66249
2020-10-31,57872
2020-11-01,42852
2020-11-02,55256
2020-11-03,49758
2020-11-04,49168
2020-11-05,57463
2020-11-06,60808
2020-11-07,55121
2020-11-08,41848
2020-11-09,51948
2020-11-10,62154
2020-11-11,58527
2020-11-12,62237
2020-11-13,63099
2020-11-14,52007
2020-11-15,34895
2020-11-16,52148
2020-11-17,59506
2020-11-18,62063
2020-11-19,61125
2020-11-20,61902
2020-11-21,48758
2020-11-22,32720
2020-11-23,52550
2020-11-24,56335
2020-11-25,51859
2020-11-26,24923
2020-11-27,34264
2020-11-28,35806
2020-11-29,31811
2020-11-30,45962
2020-12-01,54833
2020-12-02,55885
2020-12-03,56776
2020-12-04,57389
2020-12-05,42775
2020-12-06,37198
2020-12-07,50664
2020-12-08,56720
2020-12-09,57622
2020-12-10,59288
2020-12-11,61194
2020-12-12,46618
2020-12-13,38726
2020-12-14,51467
2020-12-15,60886
2020-12-16,50672
2020-12-17,26421
2020-12-18,59318
2020-12-19,44091
2020-12-20,31681
2020-12-21,51526
2020-12-22,56169
2020-12-23,56755
2020-12-24,44483
2020-12-25,19110
2020-12-26,28407
2020-12-27,25892
2020-12-28,40985
2020-12-29,45866
2020-12-30,47650
2020-12-31,44795
